first_order_month,months_since,cohort_city,n_active,n_cohort,retention_pct
2017-01-01,0,maringa,4,4,1
2017-01-01,0,martinho campos,1,1,1
2017-01-01,0,matao,1,1,1
2017-01-01,0,matinhos,1,1,1
2017-01-01,0,maua,1,1,1
2017-01-01,0,maurilandia,1,1,1
2017-01-01,0,mirassol,1,1,1
2017-01-01,0,mococa,1,1,1
2017-01-01,0,mogi das cruzes,2,2,1
2017-01-01,0,mogi mirim,1,1,1
2017-01-01,0,mogi-guacu,2,2,1
2017-01-01,0,monte azul paulista,1,1,1
2017-01-01,0,monte carmelo,1,1,1
2017-01-01,0,montes claros,2,2,1
2017-01-01,0,muzambinho,1,1,1
2017-01-01,0,natal,4,4,1
2017-01-01,0,navegantes,1,1,1
2017-01-01,0,nilopolis,1,1,1
2017-01-01,0,niteroi,4,4,1
2017-01-01,0,nova friburgo,2,2,1
2017-01-01,0,nova iguacu,5,5,1
2017-01-01,0,nova odessa,1,1,1
2017-01-01,0,novo gama,1,1,1
2017-01-01,0,novo hamburgo,1,1,1
2017-01-01,0,olinda,1,1,1
2017-01-01,0,osasco,1,1,1
2017-01-01,0,ourinhos,2,2,1
2017-01-01,0,ouro branco,1,1,1
2017-01-01,0,ouro preto,2,2,1
2017-01-01,0,palhoca,1,1,1
2017-01-01,0,palmas,1,1,1
2017-01-01,0,paracatu,1,1,1
2017-01-01,0,paranagua,1,1,1
2017-01-01,0,paraty,1,1,1
2017-01-01,0,parnamirim,1,1,1
2017-01-01,0,passos,1,1,1
2017-01-01,0,pedreira,1,1,1
2017-01-01,0,pedro leopoldo,1,1,1
2017-01-01,0,pelotas,1,1,1
2017-01-01,0,penapolis,1,1,1
2017-01-01,0,penedo,1,1,1
2017-01-01,0,petropolis,1,1,1
2017-01-01,0,piedade dos gerais,1,1,1
2017-01-01,0,pindare mirim,1,1,1
2017-01-01,0,pinhais,1,1,1
2017-01-01,0,piracicaba,3,3,1
2017-01-01,0,pirassununga,1,1,1
2017-01-01,0,piratininga,1,1,1
2017-01-01,0,pires do rio,1,1,1
2017-01-01,0,pitangueiras,1,1,1
2017-01-01,0,pocos de caldas,3,3,1
2017-01-01,0,ponta grossa,1,1,1
2017-01-01,0,porto alegre,10,10,1
2017-01-01,0,porto ferreira,1,1,1
2017-01-01,0,porto nacional,1,1,1
2017-01-01,0,porto real,1,1,1
2017-01-01,0,porto seguro,1,1,1
2017-01-01,0,porto velho,2,2,1
2017-01-01,0,praia grande,1,1,1
2017-01-01,0,presidente getulio,1,1,1
2017-01-01,0,presidente prudente,2,2,1
2017-01-01,0,primavera do leste,1,1,1
2017-01-01,0,quarai,1,1,1
2017-01-01,0,recife,2,2,1
2017-01-01,0,redentora,1,1,1
2017-01-01,0,registro,1,1,1
2017-01-01,0,resende,2,2,1
2017-01-01,0,ribeira do pombal,1,1,1
2017-01-01,0,ribeirao pires,1,1,1
2017-01-01,0,ribeirao preto,4,4,1
2017-01-01,0,rio branco,1,1,1
2017-01-01,0,rio claro,3,3,1
2017-01-01,0,rio das ostras,2,2,1
2017-01-01,0,rio de janeiro,43,43,1
2017-01-01,0,rio verde,1,1,1
2017-01-01,0,rolim de moura,1,1,1
2017-01-01,0,rondonopolis,2,2,1
2017-01-01,0,sabara,2,2,1
2017-01-01,0,sabino,1,1,1
2017-01-01,0,salto,1,1,1
2017-01-01,0,salto de pirapora,1,1,1
2017-01-01,0,salvador,6,6,1
2017-01-01,0,santa barbara d'oeste,2,2,1
2017-01-01,0,santa cecilia,1,1,1
2017-01-01,0,santa cruz do rio pardo,1,1,1
2017-01-01,0,santa fe de goias,1,1,1
2017-01-01,0,santa isabel do para,1,1,1
2017-01-01,0,santa luzia,1,1,1
2017-01-01,0,santa maria,1,1,1
2017-01-01,0,santa rita do sapucai,1,1,1
2017-01-01,0,santana da vargem,1,1,1
2017-01-01,0,santana de parnaiba,1,1,1
2017-01-01,0,santiago,3,3,1
2017-01-01,0,santo andre,2,2,1
2017-01-01,0,santo antonio da patrulha,1,1,1
2017-01-01,0,santo antonio de jesus,1,1,1
2017-01-01,0,santos,4,4,1
2017-01-01,0,santos dumont,1,1,1
2017-01-01,0,sao bernardo do campo,5,5,1
2017-01-01,0,sao caetano do sul,3,3,1
2017-01-01,0,sao carlos,5,5,1
2017-01-01,0,sao cristovao,1,1,1
2017-01-01,0,sao goncalo,3,3,1
2017-01-01,0,sao joao de meriti,1,1,1
2017-01-01,0,sao joao del rei,1,1,1
2017-01-01,0,sao jose,1,1,1
2017-01-01,0,sao jose do rio preto,3,3,1
2017-01-01,0,sao jose dos campos,4,4,1
2017-01-01,0,sao leopoldo,1,1,1
2017-01-01,0,sao luis,2,2,1
2017-01-01,0,sao miguel do oeste,1,1,1
2017-01-01,0,sao paulo,90,90,1
2017-01-01,0,sao pedro da agua branca,1,1,1
2017-01-01,0,sao pedro dos ferros,1,1,1
2017-01-01,0,sao raimundo nonato,1,1,1
2017-01-01,0,sao roque,1,1,1
2017-01-01,0,sao sebastiao do paraiso,1,1,1
2017-01-01,0,sapiranga,1,1,1
2017-01-01,0,saudade do iguacu,1,1,1
2017-01-01,0,serra,1,1,1
2017-01-01,0,sete de setembro,1,1,1
2017-01-01,0,sete lagoas,2,2,1
2017-01-01,0,sorocaba,2,2,1
2017-01-01,0,sumare,2,2,1
2017-01-01,0,taboao da serra,2,2,1
2017-01-01,0,taquaritinga,1,1,1
2017-01-01,0,taquarivai,1,1,1
2017-01-01,0,tatui,2,2,1
2017-01-01,0,taubate,2,2,1
2017-01-01,0,teixeira de freitas,1,1,1
2017-01-01,0,teofilo otoni,2,2,1
2017-01-01,0,teresina,5,5,1
2017-01-01,0,teresopolis,1,1,1
2017-01-01,0,teutonia,2,2,1
2017-01-01,0,tijucas,1,1,1
2017-01-01,0,timbauba,1,1,1
2017-01-01,0,tracunhaem,1,1,1
2017-01-01,0,tres irmaos,1,1,1
2017-01-01,0,trindade do sul,1,1,1
2017-01-01,0,tubarao,1,1,1
2017-01-01,0,tucano,1,1,1
2017-01-01,0,tupandi,1,1,1
2017-01-01,0,ubaporanga,1,1,1
2017-01-01,0,uberaba,4,4,1
2017-01-01,0,uberlandia,1,1,1
2017-01-01,0,urai,1,1,1
2017-01-01,0,valinhos,4,4,1
2017-01-01,0,vargem,1,1,1
2017-01-01,0,vargem bonita,1,1,1
2017-01-01,0,varre-sai,1,1,1
2017-01-01,0,varzea paulista,1,1,1
2017-01-01,0,veranopolis,1,1,1
2017-01-01,0,vicentinopolis,1,1,1
2017-01-01,0,videira,1,1,1
2017-01-01,0,vigia,1,1,1
2017-01-01,0,vinhedo,1,1,1
2017-01-01,0,viradouro,1,1,1
2017-01-01,0,virgolandia,1,1,1
2017-01-01,0,vitoria,3,3,1
2017-01-01,0,volta redonda,1,1,1
2017-01-01,0,votorantim,1,1,1
2017-01-01,0,xaxim,1,1,1
2017-01-01,1,ribeirao preto,1,4,0.25
2017-01-01,1,rio de janeiro,1,43,0.023255813953488372
2017-01-01,2,itamarandiba,1,1,1
2017-01-01,2,petropolis,1,1,1
2017-01-01,3,maringa,1,4,0.25
2017-01-01,4,pocos de caldas,1,3,0.33333333333333331
2017-01-01,4,redentora,1,1,1
2017-01-01,4,sao paulo,1,90,0.011111111111111112
2017-01-01,5,sao paulo,1,90,0.011111111111111112
2017-01-01,6,cotia,1,2,0.5
2017-01-01,6,jari,1,1,1
2017-01-01,6,teresopolis,1,1,1
2017-01-01,7,sao paulo,1,90,0.011111111111111112
2017-01-01,8,porto velho,1,2,0.5
2017-01-01,10,barra do garcas,1,1,1
2017-01-01,10,brasilia,1,13,0.076923076923076927
2017-01-01,10,pocos de caldas,1,3,0.33333333333333331
2017-01-01,11,belo horizonte,1,16,0.0625
2017-01-01,12,brasilia,1,13,0.076923076923076927
2017-01-01,12,caratinga,1,2,0.5
2017-01-01,12,dois vizinhos,1,1,1
2017-01-01,12,porto alegre,1,10,0.1
2017-01-01,12,sao jose dos campos,1,4,0.25
2017-01-01,13,belo horizonte,1,16,0.0625
2017-01-01,13,boa esperanca,1,1,1
2017-01-01,13,sao paulo,1,90,0.011111111111111112
2017-01-01,14,porto velho,1,2,0.5
2017-01-01,15,ouro branco,1,1,1
2017-01-01,16,ipatinga,1,2,0.5
2017-01-01,16,jales,1,1,1
2017-01-01,17,rio de janeiro,1,43,0.023255813953488372
2017-01-01,17,sao paulo,1,90,0.011111111111111112
2017-01-01,17,sao pedro dos ferros,1,1,1
2017-01-01,19,sao bernardo do campo,1,5,0.2
2017-02-01,0,abaete,1,1,1
2017-02-01,0,afonso claudio,1,1,1
2017-02-01,0,agronomica,1,1,1
2017-02-01,0,aguas belas,1,1,1
2017-02-01,0,aguas de lindoia,1,1,1
2017-02-01,0,aguas de santa barbara,1,1,1
2017-02-01,0,aguas formosas,1,1,1
2017-02-01,0,ajapi,1,1,1
2017-02-01,0,alagoinhas,3,3,1
2017-02-01,0,alem paraiba,2,2,1
2017-02-01,0,alfredo vasconcelos,1,1,1
2017-02-01,0,almenara,2,2,1
2017-02-01,0,almirante tamandare,2,2,1
2017-02-01,0,alpinopolis,1,1,1
2017-02-01,0,alta floresta,1,1,1
2017-02-01,0,altamira,1,1,1
2017-02-01,0,alto do rodrigues,1,1,1
2017-02-01,0,amambai,1,1,1
2017-02-01,0,amarante,1,1,1
2017-02-01,0,americana,3,3,1
2017-02-01,0,amparo,1,1,1
2017-02-01,0,ananindeua,3,3,1
2017-02-01,0,anapolis,4,4,1
2017-02-01,0,andradina,2,2,1
2017-02-01,0,angra dos reis,2,2,1
2017-02-01,0,aparecida de goiania,2,2,1
2017-02-01,0,apucarana,7,7,1
2017-02-01,0,aracaju,9,9,1
2017-02-01,0,aracati,1,1,1
2017-02-01,0,aracatuba,5,5,1
2017-02-01,0,araci,1,1,1
2017-02-01,0,aracruz,2,2,1
2017-02-01,0,araguaina,1,1,1
